hdate,hwind,hpres,hyear
19730608,130,946,1973
19730609,100,972,1973
19730610,65,997,1973
19730611,40,800,1973
19730612,30,800,1973
19730622,60,800,1973
19730623,45,800,1973
19730626,30,800,1973
19730627,50,800,1973
19730628,55,999,1973
19730629,25,800,1973
19730630,25,800,1973
19730718,60,800,1973
19730719,100,973,1973
19730720,120,972,1973
19730721,110,968,1973
19730722,100,969,1973
19730723,120,972,1973
19730724,100,800,1973
19730725,70,989,1973
19730726,50,800,1973
19730727,60,800,1973
19730728,85,995,1973
19730729,100,1006,1973
19730730,90,800,1973
19730731,80,800,1973
19730801,65,800,1973
19730802,50,800,1973
19730803,35,800,1973
19730804,45,800,1973
19730805,45,800,1973
19730831,45,800,1973
19730901,45,800,1973
19730922,30,800,1973
19730923,70,972,1973
19730924,90,955,1973
19730925,95,983,1973
19730926,65,800,1973
19730927,25,800,1973
19730929,40,800,1973
19730930,60,978,1973
19731001,80,800,1973
19731002,85,800,1973
19731003,80,800,1973
19731004,65,800,1973
19731005,50,800,1973
19731006,50,800,1973
19731007,70,800,1973
19731008,75,990,1973
19731009,70,800,1973
19740528,50,992,1974
19740529,50,800,1974
19740530,25,800,1974
19740605,30,1001,1974
19740606,35,800,1974
